DataAsOf,EnrollmentAsOf,level,SchoolYear,DistrictCode,DistrictName,SchoolCode,SchoolName,ApplicationReceiptMonth,seniors,completed_this_month
2026-09-19,2026-09-01,school,2027,29,Appoquinimink School District,24,Appoquinimink High School,NULL,397,0
2026-09-19,2026-09-01,school,2027,29,Appoquinimink School District,18,Middletown High School,NULL,309,0
2026-09-19,2026-09-01,school,2027,29,Appoquinimink School District,34,Odessa High School,NULL,279,0
2026-09-19,2026-09-01,school,2027,69,ASPIRA Delaware,568,ASPIRA Academy,NULL,85,0
2026-09-19,2026-09-01,school,2027,31,Brandywine School District,190,Brandywine High School,NULL,173,0
2026-09-19,2026-09-01,school,2027,31,Brandywine School District,108,Brandywine SITE,NULL,63,0
2026-09-19,2026-09-01,school,2027,31,Brandywine School District,194,Concord High School,NULL,210,0
2026-09-19,2026-09-01,school,2027,31,Brandywine School District,196,Mount Pleasant High School,NULL,229,0
2026-09-19,2026-09-01,school,2027,10,Caesar Rodney School District,626,Caesar Rodney High School,NULL,538,0
2026-09-19,2026-09-01,school,2027,10,Caesar Rodney School District,630,John S. Charlton School,NULL,78,0
2026-09-19,2026-09-01,school,2027,17,Cape Henlopen School District,726,Cape Henlopen High School,NULL,461,0
2026-09-19,2026-09-01,school,2027,17,Cape Henlopen School District,728,Sussex Consortium,NULL,20,0
2026-09-19,2026-09-01,school,2027,13,Capital School District,648,Dover High School,NULL,476,0
2026-09-19,2026-09-01,school,2027,13,Capital School District,650,Kent County Community School,NULL,39,0
2026-09-19,2026-09-01,school,2027,13,Capital School District,655,Kent County Secondary ILC,NULL,5,0
2026-09-19,2026-09-01,school,2027,70,Charter School of Wilmington,295,Charter School of Wilmington,NULL,245,0
2026-09-19,2026-09-01,school,2027,33,Christina School District,538,Brennen School (The),NULL,30,0
2026-09-19,2026-09-01,school,2027,33,Christina School District,390,Christiana High School,NULL,254,0
2026-09-19,2026-09-01,school,2027,33,Christina School District,540,Delaware School for the Deaf School (DSD),NULL,8,0
2026-09-19,2026-09-01,school,2027,33,Christina School District,537,Douglass School,NULL,13,0
2026-09-19,2026-09-01,school,2027,33,Christina School District,392,Glasgow High School,NULL,264,0
2026-09-19,2026-09-01,school,2027,33,Christina School District,394,Newark High School,NULL,226,0
2026-09-19,2026-09-01,school,2027,33,Christina School District,354,Pyle (Sarah) Academy,NULL,75,0
2026-09-19,2026-09-01,school,2027,34,Colonial School District,514,Leach (John G.) School,NULL,47,0
2026-09-19,2026-09-01,school,2027,34,Colonial School District,490,Penn (William) High School,NULL,543,0
2026-09-19,2026-09-01,school,2027,79,Delaware Military Academy,578,Delaware Military Academy,NULL,136,0
2026-09-19,2026-09-01,school,2027,37,Delmar School District,730,Delmar High School,NULL,162,0
2026-09-19,2026-09-01,school,2027,9604,Early College School at Del State,4040,Early College School at Del State,NULL,93,0
2026-09-19,2026-09-01,school,2027,9607,First State Military Academy,4055,First State Military Academy,NULL,86,0
2026-09-19,2026-09-01,school,2027,9612,Freire Charter School Wilmington,4080,Freire Charter School,NULL,64,0
2026-09-19,2026-09-01,school,2027,9611,Great Oaks Charter School,4075,Great Oaks Charter School,NULL,43,0
2026-09-19,2026-09-01,school,2027,36,Indian River School District,750,Ennis (Howard T.) School,NULL,46,0
2026-09-19,2026-09-01,school,2027,36,Indian River School District,746,Indian River High School,NULL,255,0
2026-09-19,2026-09-01,school,2027,36,Indian River School District,748,Sussex Central High School,NULL,390,0
2026-09-19,2026-09-01,school,2027,15,Lake Forest School District,665,Lake Forest High School,NULL,221,0
2026-09-19,2026-09-01,school,2027,15,Lake Forest School District,659,Lake Forest ILC,NULL,9,0
2026-09-19,2026-09-01,school,2027,16,Laurel School District,756,Laurel Senior High School,NULL,138,0
2026-09-19,2026-09-01,school,2027,18,Milford School District,678,Milford Senior High School,NULL,283,0
2026-09-19,2026-09-01,school,2027,88,MOT Charter School,587,MOT Charter School,NULL,175,0
2026-09-19,2026-09-01,school,2027,38,New Castle County Vocational-Technical School District,80,Delcastle Technical High School,NULL,414,0
2026-09-19,2026-09-01,school,2027,38,New Castle County Vocational-Technical School District,66,Hodgson (Paul M.) Vocational Technical High School,NULL,274,0
2026-09-19,2026-09-01,school,2027,38,New Castle County Vocational-Technical School District,26,Howard High School of Technology,NULL,205,0
2026-09-19,2026-09-01,school,2027,38,New Castle County Vocational-Technical School District,44,St. Georges Technical High School,NULL,286,0
2026-09-19,2026-09-01,school,2027,89,Newark Charter School,588,Newark Charter School,NULL,239,0
2026-09-19,2026-09-01,school,2027,86,Odyssey Charter School,585,Odyssey Charter School,NULL,125,0
2026-09-19,2026-09-01,school,2027,39,POLYTECH School District,652,POLYTECH High School,NULL,309,0
2026-09-19,2026-09-01,school,2027,71,Positive Outcomes Charter School,570,Positive Outcomes Charter School,NULL,13,0
2026-09-19,2026-09-01,school,2027,32,Red Clay Consolidated School District,286,Calloway (Cab) School of the Arts,NULL,121,0
2026-09-19,2026-09-01,school,2027,32,Red Clay Consolidated School District,284,Conrad Schools of Science,NULL,164,0
2026-09-19,2026-09-01,school,2027,32,Red Clay Consolidated School District,290,Dickinson (John) School,NULL,149,0
2026-09-19,2026-09-01,school,2027,32,Red Clay Consolidated School District,292,duPont (Alexis I.) High School,NULL,125,0
2026-09-19,2026-09-01,school,2027,32,Red Clay Consolidated School District,530,First State School,NULL,4,0
2026-09-19,2026-09-01,school,2027,32,Red Clay Consolidated School District,294,McKean (Thomas) High School,NULL,233,0
2026-09-19,2026-09-01,school,2027,32,Red Clay Consolidated School District,516,Meadowood Program,NULL,57,0
2026-09-19,2026-09-01,school,2027,23,Seaford School District,766,Seaford Senior High School,NULL,250,0
2026-09-19,2026-09-01,school,2027,24,Smyrna School District,688,Smyrna High School,NULL,383,0
2026-09-19,2026-09-01,school,2027,77,Sussex Academy,576,Sussex Academy,NULL,118,0
2026-09-19,2026-09-01,school,2027,40,Sussex Technical School District,770,Sussex Technical High School,NULL,311,0
2026-09-19,2026-09-01,school,2027,35,Woodbridge School District,780,Woodbridge High School,NULL,157,0
2026-09-19,2026-09-01,lea,2027,29,Appoquinimink School District,All Schools,All Schools,NULL,985,0
2026-09-19,2026-09-01,lea,2027,69,ASPIRA Delaware,All Schools,All Schools,NULL,85,0
2026-09-19,2026-09-01,lea,2027,31,Brandywine School District,All Schools,All Schools,NULL,675,0
2026-09-19,2026-09-01,lea,2027,10,Caesar Rodney School District,All Schools,All Schools,NULL,616,0
2026-09-19,2026-09-01,lea,2027,17,Cape Henlopen School District,All Schools,All Schools,NULL,481,0
2026-09-19,2026-09-01,lea,2027,13,Capital School District,All Schools,All Schools,NULL,520,0
2026-09-19,2026-09-01,lea,2027,70,Charter School of Wilmington,All Schools,All Schools,NULL,245,0
2026-09-19,2026-09-01,lea,2027,33,Christina School District,All Schools,All Schools,NULL,870,0
2026-09-19,2026-09-01,lea,2027,34,Colonial School District,All Schools,All Schools,NULL,590,0
2026-09-19,2026-09-01,lea,2027,79,Delaware Military Academy,All Schools,All Schools,NULL,136,0
2026-09-19,2026-09-01,lea,2027,37,Delmar School District,All Schools,All Schools,NULL,162,0
2026-09-19,2026-09-01,lea,2027,9604,Early College School at Del State,All Schools,All Schools,NULL,93,0
2026-09-19,2026-09-01,lea,2027,9607,First State Military Academy,All Schools,All Schools,NULL,86,0
2026-09-19,2026-09-01,lea,2027,9612,Freire Charter School Wilmington,All Schools,All Schools,NULL,64,0
2026-09-19,2026-09-01,lea,2027,9611,Great Oaks Charter School,All Schools,All Schools,NULL,43,0
2026-09-19,2026-09-01,lea,2027,36,Indian River School District,All Schools,All Schools,NULL,691,0
2026-09-19,2026-09-01,lea,2027,15,Lake Forest School District,All Schools,All Schools,NULL,230,0
2026-09-19,2026-09-01,lea,2027,16,Laurel School District,All Schools,All Schools,NULL,138,0
2026-09-19,2026-09-01,lea,2027,18,Milford School District,All Schools,All Schools,NULL,283,0
2026-09-19,2026-09-01,lea,2027,88,MOT Charter School,All Schools,All Schools,NULL,175,0
2026-09-19,2026-09-01,lea,2027,38,New Castle County Vocational-Technical School District,All Schools,All Schools,NULL,1179,0
2026-09-19,2026-09-01,lea,2027,89,Newark Charter School,All Schools,All Schools,NULL,239,0
2026-09-19,2026-09-01,lea,2027,86,Odyssey Charter School,All Schools,All Schools,NULL,125,0
2026-09-19,2026-09-01,lea,2027,39,POLYTECH School District,All Schools,All Schools,NULL,309,0
2026-09-19,2026-09-01,lea,2027,71,Positive Outcomes Charter School,All Schools,All Schools,NULL,13,0
2026-09-19,2026-09-01,lea,2027,32,Red Clay Consolidated School District,All Schools,All Schools,NULL,853,0
2026-09-19,2026-09-01,lea,2027,23,Seaford School District,All Schools,All Schools,NULL,250,0
2026-09-19,2026-09-01,lea,2027,24,Smyrna School District,All Schools,All Schools,NULL,383,0
2026-09-19,2026-09-01,lea,2027,77,Sussex Academy,All Schools,All Schools,NULL,118,0
2026-09-19,2026-09-01,lea,2027,40,Sussex Technical School District,All Schools,All Schools,NULL,311,0
2026-09-19,2026-09-01,lea,2027,35,Woodbridge School District,All Schools,All Schools,NULL,157,0
2026-09-19,2026-09-01,state,2027,All LEAs,All LEAs,All Schools,All Schools,NULL,11105,0
2026-09-19,2026-06-01,school,2026,29,Appoquinimink School District,24,Appoquinimink High School,2025-09-01,341,10
